pdf_page,image_index,xref,filename,width,height,bytes
1,1,9,page-001-image-01.png,927,532,20398
2,1,14,page-002-image-01.png,1269,857,139784
2,2,15,page-002-image-02.png,930,494,44486
3,1,18,page-003-image-01.png,818,512,47306
3,2,19,page-003-image-02.png,812,480,41504
4,1,22,page-004-image-01.png,635,366,24875
4,2,23,page-004-image-02.png,754,376,27426
5,1,26,page-005-image-01.png,624,408,26111
6,1,29,page-006-image-01.png,636,333,22141
6,2,30,page-006-image-02.png,901,390,30086
7,1,34,page-007-image-01.png,1034,555,54188
7,2,35,page-007-image-02.png,884,456,34765
8,1,38,page-008-image-01.png,962,602,47926
9,1,41,page-009-image-01.png,669,405,25563
10,1,44,page-010-image-01.png,641,532,39707
10,2,45,page-010-image-02.png,868,709,78366
11,1,48,page-011-image-01.png,1200,938,149009
12,1,51,page-012-image-01.png,637,604,28831
13,1,54,page-013-image-01.png,822,554,50260
14,1,57,page-014-image-01.png,676,400,24138
15,1,60,page-015-image-01.png,962,414,45434
15,2,61,page-015-image-02.png,1067,584,47464
16,1,64,page-016-image-01.png,1073,583,60484
17,1,67,page-017-image-01.png,990,615,60736
18,1,70,page-018-image-01.png,1442,983,79141
19,1,73,page-019-image-01.png,1257,637,54253
20,1,77,page-020-image-01.png,999,807,92836
21,1,80,page-021-image-01.png,1010,680,62312
21,2,81,page-021-image-02.png,563,521,36451
22,1,84,page-022-image-01.png,700,470,34316
23,1,87,page-023-image-01.png,852,504,35903
24,1,90,page-024-image-01.png,960,480,33909
25,1,95,page-025-image-01.png,977,829,57506
28,1,102,page-028-image-01.png,1062,442,45145
29,1,105,page-029-image-01.png,973,506,46337
30,1,108,page-030-image-01.png,1189,377,44209
33,1,115,page-033-image-01.png,960,399,37013
33,2,116,page-033-image-02.png,963,615,58025
34,1,119,page-034-image-01.png,949,390,37806
34,2,120,page-034-image-02.png,975,692,53221
35,1,123,page-035-image-01.png,1000,388,40001
35,2,124,page-035-image-02.png,965,394,40082
36,1,127,page-036-image-01.png,966,393,39223
36,2,128,page-036-image-02.png,964,392,39584
37,1,131,page-037-image-01.png,1010,547,48204
37,2,132,page-037-image-02.png,968,519,47098
38,1,135,page-038-image-01.png,953,475,47337
39,1,138,page-039-image-01.png,948,447,45255
39,2,139,page-039-image-02.png,944,438,45060
40,1,142,page-040-image-01.png,951,436,46059
41,1,145,page-041-image-01.png,946,441,44202
42,1,148,page-042-image-01.png,1119,490,59830
43,1,151,page-043-image-01.png,1080,278,17965
43,2,152,page-043-image-02.png,975,488,41678
44,1,155,page-044-image-01.png,978,345,23200
44,2,156,page-044-image-02.png,982,536,28796
45,1,160,page-045-image-01.png,1018,634,59513
48,1,167,page-048-image-01.png,973,401,41409
49,1,170,page-049-image-01.png,986,411,45404
50,1,173,page-050-image-01.png,985,525,46911
51,1,176,page-051-image-01.png,993,427,39748
54,1,183,page-054-image-01.png,953,447,48288
55,1,186,page-055-image-01.png,949,406,43052
55,2,187,page-055-image-02.png,946,377,39403
60,1,198,page-060-image-01.png,999,440,43951
68,1,215,page-068-image-01.png,1149,485,56456
69,1,218,page-069-image-01.png,1339,581,75500
71,1,223,page-071-image-01.png,986,421,38247
72,1,226,page-072-image-01.png,958,518,53932
73,1,229,page-073-image-01.png,1080,514,55462
75,1,234,page-075-image-01.png,1078,378,43343
75,2,235,page-075-image-02.png,987,411,45271
77,1,240,page-077-image-01.png,1033,616,45260
78,1,243,page-078-image-01.png,1032,750,52687
79,1,246,page-079-image-01.png,998,649,51281
81,1,251,page-081-image-01.png,1038,515,54885
82,1,254,page-082-image-01.png,967,442,40827
83,1,257,page-083-image-01.png,991,478,42624
88,1,268,page-088-image-01.png,973,361,34570
88,2,269,page-088-image-02.png,965,360,36588
89,1,272,page-089-image-01.png,963,402,41519
